,0
0,0
1,3
2,3
3,0
4,2
5,3
6,0
7,2
8,0
9,0
10,1
11,0
12,2
13,2
14,2
15,0
16,2
17,3
18,0
19,0
20,3
21,1
22,1
23,0
24,0
25,3
26,0
27,0
28,0
29,2
30,0
31,1
32,0
33,0
34,0
35,1
36,2
37,2
38,2
39,3
40,3
41,2
42,2
43,0
44,0
45,1
46,3
47,0
48,1
49,2
50,2
51,2
52,3
53,3
54,0
55,0
56,0
57,0
58,2
59,0
60,2
61,2
62,0
63,1
64,0
65,2
66,2
67,0
68,3
69,1
70,1
71,2
72,0
73,2
74,0
75,3
76,0
77,2
78,0
79,0
80,1
81,0
82,0
83,3
84,0
85,1
86,0
87,0
88,2
89,2
90,2
91,1
92,1
93,0
94,1
95,2
96,1
97,1
98,1
99,0
100,0
101,1
102,2
103,3
104,0
105,3
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,3
117,0
118,2
119,1
120,1
121,0
122,1
123,2
124,2
125,2
126,0
127,2
128,1
129,0
130,1
131,0
132,2
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,2
142,0
143,2
144,2
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,1
158,3
159,0
160,1
161,1
162,2
163,1
164,0
165,1
166,2
167,0
168,0
169,2
170,1
171,0
172,2
173,2
174,1
175,3
176,2
177,1
178,2
179,2
180,0
181,1
182,3
183,2
184,0
185,2
186,1
187,2
188,2
189,3
190,2
191,2
192,2
193,2
194,0
195,2
196,2
197,2
198,2
199,3
200,3
201,2
202,1
203,2
204,3
205,3
206,3
207,0
208,2
209,3
210,3
211,3
212,0
213,1
214,0
215,1
216,2
217,0
218,2
219,2
220,2
221,2
222,0
223,2
224,1
225,2
226,2
227,3
228,2
229,2
230,2
231,2
232,2
233,2
234,0
235,1
236,1
237,2
238,2
239,1
240,2
241,2
242,2
243,2
244,2
245,3
246,3
247,3
248,1
249,0
250,2
251,0
252,2
253,2
254,1
255,2
256,2
257,2
258,3
259,3
260,3
261,3
262,1
263,0
264,3
265,1
266,3
267,3
268,3
269,3
270,2
271,2
272,2
273,3
274,3
275,3
276,2
277,3
278,3
279,0
280,2
281,3
282,3
283,2
284,3
285,2
286,3
287,0
288,2
289,2
290,2
291,0
292,0
293,3
294,0
295,3
296,0
297,0
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,25
306,5
307,20
308,21
309,25
310,25
311,17
312,26
313,5
314,25
315,10
316,25
317,25
318,25
319,4
320,25
321,23
322,24
323,32
324,33
325,32
326,24
327,20
328,20
