,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,1
292,1
