,0
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,1
179,1
