,0
0,0
1,0
2,4
3,4
4,0
5,0
6,0
7,0
8,0
9,4
10,0
11,0
12,0
13,0
14,4
15,0
16,0
17,0
18,0
19,4
20,0
21,0
22,0
23,4
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,4
36,0
37,0
38,4
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,4
50,4
51,0
52,0
53,0
54,4
55,0
56,0
57,4
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,4
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,4
85,2
86,1
87,4
88,1
89,4
90,2
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,4
114,1
115,1
116,0
117,0
118,1
119,0
120,4
121,4
122,0
123,0
124,4
125,0
126,0
127,1
128,4
129,0
130,1
