,0
0,22
1,5
2,0
3,24
4,1
5,6
6,17
7,23
8,1
9,5
10,12
11,7
12,4
13,19
14,14
15,8
16,0
17,1
18,6
19,12
20,24
21,18
22,20
23,13
24,19
25,22
26,11
27,18
28,11
29,23
30,12
31,20
32,19
33,0
34,6
35,19
36,18
37,14
38,18
39,3
40,6
41,14
42,18
43,11
44,16
45,18
46,20
47,13
48,6
49,11
50,4
51,19
52,11
53,19
54,19
55,11
56,0
57,19
58,9
59,16
60,24
61,18
62,9
63,22
64,17
65,23
66,7
67,25
68,5
69,23
70,17
71,25
72,18
73,3
74,20
75,9
76,13
77,11
78,0
79,9
80,17
81,15
82,7
83,1
84,11
85,9
86,13
87,5
88,9
89,3
90,5
91,14
92,14
93,17
94,14
95,0
96,18
97,4
98,11
99,16
100,11
101,19
102,5
103,10
104,16
105,14
106,18
107,12
108,18
109,11
110,18
111,6
112,17
113,10
114,9
115,18
116,20
117,11
118,19
119,16
120,23
121,22
122,18
123,14
124,11
125,8
126,23
127,5
128,16
129,15
130,21
131,23
132,21
133,1
134,20
135,22
136,14
137,22
138,14
139,5
140,1
141,25
142,19
143,11
144,5
145,12
146,21
147,14
148,16
149,18
150,20
151,3
152,7
153,8
154,4
155,5
156,17
157,21
158,7
159,21
160,9
161,0
162,9
163,9
164,17
165,18
166,19
167,21
168,19
169,25
170,20
171,9
172,20
173,5
174,14
175,22
176,7
177,9
178,19
179,4
180,20
181,19
182,18
183,3
184,25
185,14
186,19
187,1
188,12
189,9
190,1
191,22
192,17
193,18
194,23
195,21
196,6
197,19
198,11
199,23
200,11
201,3
202,22
203,9
204,20
205,6
206,11
207,1
208,1
209,6
210,19
211,15
212,17
213,15
214,5
215,23
216,3
217,24
218,7
219,18
220,12
221,21
222,14
223,21
224,17
225,8
226,8
227,12
228,20
229,1
230,14
231,13
232,7
233,24
234,3
235,1
236,21
237,23
238,17
239,6
240,14
241,24
242,5
243,5
244,17
245,12
246,20
247,18
248,9
249,5
250,14
251,15
252,19
253,19
254,19
255,16
256,22
257,11
258,1
259,5
260,5
261,6
262,13
263,14
264,14
265,4
266,24
267,14
268,16
269,6
270,20
271,18
272,11
273,22
274,6
275,25
276,17
277,14
278,4
279,21
280,14
281,18
282,19
283,14
284,14
285,22
286,9
287,22
288,22
289,23
290,19
291,11
292,18
293,8
294,6
295,22
296,21
297,9
298,25
299,4
300,22
301,20
302,23
303,18
304,3
305,19
306,18
307,14
308,14
309,9
310,11
311,17
312,17
313,22
314,8
315,3
316,6
317,11
318,17
319,14
320,9
321,8
322,4
323,1
324,5
325,19
326,14
327,18
328,19
329,3
330,20
331,4
332,9
333,19
334,10
335,11
336,5
337,22
338,19
339,17
340,17
341,25
342,12
343,4
344,0
345,22
346,12
347,4
348,21
349,19
350,20
351,14
352,20
353,7
354,23
355,14
356,0
357,19
358,9
359,14
360,22
361,10
362,17
363,14
364,16
365,24
366,11
367,1
368,20
369,4
370,22
371,20
372,9
373,22
374,14
375,11
376,14
377,23
378,13
379,5
380,18
381,21
382,14
383,20
384,23
385,5
386,4
387,4
388,14
389,11
390,25
391,5
392,4
393,9
394,1
395,20
