,0
0,1
1,3
2,3
3,2
4,1
5,3
6,1
7,3
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,3
16,1
17,3
18,3
19,1
20,3
21,0
22,0
23,1
24,2
25,1
26,0
27,0
28,1
29,2
30,0
31,3
32,2
33,3
34,1
35,3
36,3
37,2
38,3
39,3
40,2
41,3
42,3
43,3
44,2
45,1
46,1
47,0
48,3
49,2
50,3
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,1
60,2
61,0
62,0
63,3
64,3
65,0
66,3
67,1
68,0
69,2
70,0
71,2
72,3
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,0
81,2
82,1
83,2
84,1
85,3
86,0
87,2
88,3
89,1
90,2
91,2
92,2
93,0
94,1
95,0
96,1
97,3
98,2
99,1
100,0
101,1
102,1
103,2
104,2
105,2
106,0
107,1
108,3
109,0
110,0
111,1
112,3
113,3
114,0
115,1
116,1
117,3
118,0
119,0
120,3
121,1
122,0
123,1
124,3
125,1
126,3
127,0
128,1
129,2
130,1
131,2
132,2
133,1
134,1
135,2
136,2
137,1
138,2
139,2
140,0
141,1
142,2
143,2
144,0
145,1
146,0
147,1
148,1
149,3
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,2
160,0
161,1
162,0
163,1
164,0
165,3
166,1
167,3
168,0
169,1
170,1
171,1
172,1
173,3
174,1
175,1
176,3
177,3
178,2
179,0
180,0
181,2
182,0
183,0
184,3
185,2
186,0
187,0
188,3
189,3
190,0
191,1
192,0
193,2
194,2
195,2
196,3
197,2
198,1
199,2
200,2
201,0
202,1
203,2
204,2
205,3
206,1
207,1
208,0
209,1
210,0
211,0
212,1
213,3
214,1
215,1
216,2
217,1
218,2
219,3
220,3
221,3
222,2
223,0
224,0
225,3
226,1
227,0
228,0
229,3
230,2
231,0
232,0
233,2
234,2
235,3
236,1
237,2
238,3
239,1
240,1
241,2
242,1
243,1
244,0
245,2
246,3
247,3
248,1
249,0
250,2
251,2
252,3
253,2
254,1
255,0
256,1
257,3
258,3
259,0
260,2
261,1
262,0
263,1
264,3
265,1
266,1
267,1
268,3
269,0
270,2
271,2
272,2
273,3
274,0
275,2
276,1
277,3
278,0
279,2
280,1
281,0
282,0
283,1
284,0
285,2
286,2
287,0
288,3
289,0
290,1
291,3
292,1
293,2
294,1
295,2
296,1
297,0
298,1
299,2
300,0
301,3
302,0
303,0
304,3
305,10
306,17
307,20
308,20
309,11
310,11
311,23
312,31
313,17
314,33
315,34
316,32
317,28
318,17
319,11
320,25
321,13
322,11
323,25
324,12
325,24
326,25
327,27
328,20
329,13
330,24
331,3
332,27
333,22
334,32
335,5
336,20
337,10
338,37
339,32
340,25
341,36
342,27
343,20
344,33
345,4
346,36
347,32
348,25
349,17
350,4
351,36
352,7
353,28
354,12
355,4
356,36
357,34
358,33
359,12
360,23
361,19
362,4
363,27
364,11
365,4
366,4
367,20
368,17
369,31
370,32
371,38
372,35
373,24
374,5
375,20
376,26
377,28
378,5
379,11
380,25
381,29
382,13
383,32
384,20
385,32
386,10
387,28
388,4
389,38
390,12
391,34
392,25
393,34
394,11
395,12
396,23
397,32
398,11
399,20
400,5
401,16
402,8
403,4
404,11
405,21
406,5
407,4
408,35
409,36
410,20
411,4
412,4
413,4
414,7
415,33
416,27
417,21
418,24
419,25
420,33
421,32
422,27
423,23
424,14
425,4
426,38
427,17
428,13
429,5
430,3
431,27
432,4
433,11
434,33
435,12
436,21
437,11
438,17
439,25
440,13
441,24
442,25
443,12
444,9
445,4
446,24
447,32
448,17
449,38
450,20
451,27
452,25
453,12
454,3
455,8
456,22
457,20
458,3
459,24
460,33
461,11
462,17
463,15
464,21
465,33
466,27
467,32
468,17
469,24
470,22
471,11
472,29
473,22
474,5
475,12
476,5
477,23
478,17
479,17
480,12
481,5
482,11
483,35
484,37
485,32
486,26
487,16
488,4
489,25
490,25
491,5
492,15
493,4
494,32
495,4
496,25
497,33
498,33
499,5
500,33
501,4
502,33
503,5
504,5
505,16
506,10
507,20
508,24
509,5
510,6
511,4
512,17
513,29
514,12
515,27
516,8
517,18
518,14
519,6
520,18
521,22
522,11
523,8
524,18
525,21
526,14
527,6
528,26
529,9
530,14
531,9
532,18
533,6
534,21
535,6
536,36
537,19
538,18
539,30
540,33
541,6
542,34
543,14
544,8
545,34
546,30
547,21
548,8
549,8
550,30
551,6
552,18
553,35
554,6
555,8
556,16
557,6
558,14
559,21
560,8
561,6
562,34
563,8
564,14
565,27
566,23
567,18
568,6
569,27
570,18
571,21
572,22
573,14
574,7
575,8
576,18
577,18
578,18
579,8
580,21
581,22
582,35
583,34
584,34
585,15
586,8
587,12
588,8
589,6
590,8
591,15
592,36
593,29
594,6
595,6
596,8
597,6
598,16
599,8
600,6
601,18
602,5
603,34
604,26
605,18
606,7
607,13
608,7
609,28
610,18
611,7
612,7
613,6
614,36
615,19
616,30
617,29
618,7
619,28
620,36
621,30
622,28
623,26
624,19
625,6
626,31
627,30
628,38
629,36
630,7
631,8
632,28
633,26
634,29
635,30
636,15
637,30
638,19
639,35
640,15
641,5
642,19
643,19
644,5
645,30
646,4
647,6
648,34
649,7
650,7
651,15
652,31
653,19
654,7
655,37
656,28
657,38
658,8
659,7
660,26
661,22
662,29
663,7
664,30
665,13
666,15
667,7
668,19
669,18
670,15
671,32
672,28
673,29
674,7
675,37
676,29
677,7
678,27
679,28
680,31
681,7
682,7
683,13
684,26
685,15
686,13
687,15
688,15
689,23
690,22
691,8
692,11
693,6
694,7
695,34
696,18
697,35
698,18
699,36
700,9
701,21
702,14
703,34
704,14
705,34
706,8
707,23
708,30
709,8
710,26
711,26
712,8
713,37
714,34
715,20
716,36
717,18
718,37
719,8
720,6
721,6
722,6
723,6
724,23
725,13
726,6
727,34
728,8
729,14
730,18
731,35
732,14
733,6
734,14
735,14
736,17
737,34
738,8
739,9
740,8
741,6
742,7
743,21
744,17
745,8
746,21
747,8
748,14
749,28
750,14
751,23
752,8
753,22
754,8
755,12
756,34
757,21
758,14
759,14
760,9
761,7
762,22
763,34
764,9
765,20
766,37
767,8
768,20
769,26
770,18
771,6
772,29
773,18
774,31
775,36
776,9
777,21
778,14
779,35
780,6
781,6
782,5
783,38
784,9
785,9
786,18
787,18
788,15
789,14
790,33
791,34
792,19
793,27
794,36
795,9
796,21
797,35
798,14
799,17
800,30
801,14
802,6
803,31
804,37
805,34
806,20
807,18
808,8
809,14
810,37
811,8
812,9
813,35
814,13
815,6
816,8
817,9
818,9
819,18
820,34
821,16
822,23
823,38
824,9
825,9
826,30
827,14
828,7
829,35
830,14
831,34
832,21
833,9
834,18
835,8
836,9
837,9
838,31
839,18
840,27
841,26
842,21
843,9
844,18
845,32
846,21
847,14
848,18
849,22
850,37
851,21
852,18
853,18
854,34
855,21
856,34
857,21
858,9
859,9
860,35
861,3
862,4
863,34
864,7
865,32
866,11
867,12
868,33
869,12
870,32
871,16
872,10
873,36
874,24
875,33
876,33
877,33
878,20
879,35
880,23
881,33
882,4
883,21
884,4
885,16
886,27
887,10
888,34
889,28
890,24
891,21
892,27
893,23
894,24
895,22
896,12
897,25
898,5
899,27
900,33
901,36
902,25
903,11
904,3
905,34
906,16
907,34
908,30
909,4
910,36
911,25
912,23
913,23
914,6
915,25
916,27
917,24
918,37
919,9
920,33
921,25
922,4
923,15
924,4
925,32
926,10
927,23
928,32
929,38
930,33
931,23
932,16
933,33
934,10
935,17
936,10
937,30
938,24
939,32
940,10
941,25
942,20
943,32
944,13
945,21
946,17
947,28
948,15
949,6
950,33
951,17
952,24
953,11
954,17
955,20
956,10
957,27
958,23
959,7
960,38
961,33
962,38
963,4
964,16
965,20
966,12
967,17
968,32
969,11
970,36
971,34
972,33
973,12
974,8
975,4
976,14
977,14
978,17
979,16
980,17
981,25
982,38
983,20
984,27
985,17
986,11
987,23
988,11
989,26
990,38
991,14
992,10
993,32
994,17
995,11
996,20
997,26
998,17
999,12
1000,21
1001,16
1002,5
1003,24
1004,30
1005,26
1006,18
1007,25
1008,22
1009,17
1010,17
1011,38
1012,17
1013,35
1014,20
1015,34
1016,32
1017,33
1018,4
1019,25
1020,22
1021,5
1022,22
1023,17
1024,17
1025,18
1026,35
1027,24
1028,25
1029,6
1030,21
1031,5
1032,4
1033,33
1034,25
1035,16
1036,10
1037,38
1038,38
1039,23
1040,24
1041,17
1042,12
1043,32
1044,9
1045,16
1046,32
1047,6
1048,27
1049,35
1050,12
1051,27
1052,32
1053,4
1054,17
1055,11
1056,34
1057,12
1058,17
1059,17
1060,12
1061,20
1062,5
1063,35
1064,4
1065,5
1066,4
1067,11
1068,17
1069,20
1070,20
1071,32
1072,22
1073,10
1074,10
1075,4
1076,4
1077,33
1078,32
1079,25
1080,34
1081,28
1082,8
1083,21
1084,21
1085,33
1086,8
1087,32
1088,10
1089,21
1090,20
1091,24
1092,17
1093,10
1094,33
1095,26
1096,15
1097,23
1098,3
1099,20
1100,34
1101,17
1102,35
1103,34
1104,28
1105,22
1106,5
1107,38
1108,31
1109,22
1110,12
1111,10
1112,32
1113,10
1114,30
1115,16
1116,8
1117,38
1118,34
1119,22
1120,13
1121,7
1122,4
1123,36
1124,12
1125,18
1126,29
1127,15
1128,31
1129,31
1130,6
1131,13
1132,31
1133,19
1134,28
1135,36
1136,4
1137,18
1138,28
1139,7
1140,35
1141,14
1142,30
1143,29
1144,28
1145,4
1146,8
1147,13
1148,13
1149,32
1150,7
1151,29
1152,21
1153,18
1154,36
1155,30
1156,19
1157,5
1158,5
1159,31
1160,22
1161,28
1162,29
1163,13
1164,27
1165,37
1166,19
1167,13
1168,15
1169,13
1170,21
1171,7
1172,7
1173,3
1174,7
1175,19
1176,32
1177,29
1178,31
1179,31
1180,19
1181,26
1182,29
1183,32
1184,4
1185,16
1186,29
1187,24
1188,31
1189,15
1190,18
1191,19
1192,4
1193,6
1194,30
1195,28
1196,28
1197,13
1198,30
1199,33
1200,36
1201,19
1202,34
1203,27
1204,34
1205,6
1206,19
1207,6
1208,14
1209,14
1210,36
1211,12
1212,38
1213,6
1214,9
1215,18
1216,6
1217,6
1218,6
1219,12
1220,22
1221,26
1222,8
1223,14
1224,14
1225,23
1226,33
1227,18
1228,7
1229,14
1230,15
1231,14
1232,37
1233,14
1234,12
1235,36
1236,6
1237,9
1238,14
1239,14
1240,35
1241,14
1242,37
1243,34
1244,6
1245,22
1246,6
1247,14
1248,27
1249,9
1250,6
1251,14
1252,14
1253,9
1254,7
1255,6
1256,6
1257,18
