,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
