,0
0,0
1,0
2,5
3,0
4,0
5,5
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,5
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,5
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,7
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,2
83,2
84,4
85,2
86,2
87,4
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,4
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,3
121,3
122,4
123,3
124,3
125,3
126,3
127,4
128,3
129,3
130,3
131,4
132,3
133,3
134,4
135,3
136,4
137,4
138,4
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,5
148,4
149,3
150,3
151,7
152,3
153,4
154,3
155,5
156,3
157,3
158,3
159,3
160,4
161,4
162,5
163,4
164,4
165,0
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,2
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,5
196,4
197,4
198,4
199,4
200,2
201,2
202,5
203,5
204,5
205,5
206,5
207,5
208,2
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,3
220,0
221,5
222,2
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,2
231,3
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,2
241,6
242,6
243,6
244,2
245,6
246,6
247,1
248,6
249,2
250,1
251,1
252,6
253,6
254,6
255,6
256,6
257,6
258,1
259,4
260,2
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,2
273,2
274,6
275,6
276,6
277,6
278,6
279,6
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,7
301,7
302,7
303,7
304,7
305,7
306,0
307,7
308,7
309,7
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,3
319,7
